,artist_name,genres,followers,artist_popularity,artist_url,track_name,album_name,release_date,duration_ms,explicit,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
10,Adele,"british soul, pop, pop soul, uk pop",57782264,84,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,Easy On Me,30,2021-11-19,224694,False,84,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981
11,Adele,"british soul, pop, pop soul, uk pop",57782264,79,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,Set Fire to the Rain,21,2011-01-24,242973,False,79,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993
12,Adele,"british soul, pop, pop soul, uk pop",57782264,78,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,Someone Like You,21,2011-01-24,285240,False,78,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187
13,Adele,"british soul, pop, pop soul, uk pop",57782264,79,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,Rolling in the Deep,21,2011-01-24,228093,False,79,0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948
14,Adele,"british soul, pop, pop soul, uk pop",57782264,84,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,Skyfall,Skyfall,2012-10-04,286480,False,84,0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881
15,Adele,"british soul, pop, pop soul, uk pop",57782264,74,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,Love In The Dark,25,2015-11-20,285935,False,74,0.331,0.341,9,-6.057,0,0.0309,0.528,0.0,0.109,0.152,109.821
16,Adele,"british soul, pop, pop soul, uk pop",57782264,73,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,When We Were Young,25,2015-11-20,290900,False,73,0.376,0.595,3,-5.936,1,0.0496,0.303,0.0,0.095,0.265,144.361
17,Adele,"british soul, pop, pop soul, uk pop",57782264,72,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,Make You Feel My Love,19,2008-01-28,212040,False,72,0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18
18,Adele,"british soul, pop, pop soul, uk pop",57782264,70,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,Chasing Pavements,19,2008-01-28,210506,False,70,0.616,0.47,5,-6.092,0,0.0253,0.291,0.0,0.111,0.325,80.03
19,Adele,"british soul, pop, pop soul, uk pop",57782264,72,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,Hello,25,2015-11-20,295502,False,72,0.578,0.43,5,-6.134,0,0.0305,0.33,0.0,0.0854,0.288,78.991
20,A$AP Rocky,"east coast hip hop, hip hop, rap",14740526,83,https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,Sundress,Sundress,2018-11-20,158205,True,83,0.721,0.707,6,-6.364,1,0.0595,0.181,3.68e-06,0.143,0.743,125.005
21,A$AP Rocky,"east coast hip hop, hip hop, rap",14740526,83,https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),2023-08-18,190285,True,83,0.47,0.652,2,-9.629,1,0.0561,0.0831,4.08e-05,0.175,0.104,141.981
22,A$AP Rocky,"east coast hip hop, hip hop, rap",14740526,81,https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,Praise The Lord (Da Shine) (feat. Skepta),TESTING,2018-05-25,205040,True,81,0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015
23,A$AP Rocky,"east coast hip hop, hip hop, rap",14740526,79,https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",AT.LONG.LAST.A$AP,2015-05-26,260986,True,79,0.394,0.661,4,-8.684,1,0.192,0.00996,0.0,0.343,0.335,149.818
24,A$AP Rocky,"east coast hip hop, hip hop, rap",14740526,77,https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,HIGHJACK,HIGHJACK,2024-08-02,190074,True,77,0.61,0.682,7,-4.877,1,0.123,0.318,0.0,0.321,0.694,142.966
25,A$AP Rocky,"east coast hip hop, hip hop, rap",14740526,77,https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,Fashion Killa,LONG.LIVE.A$AP (Deluxe Version),2013,236280,True,77,0.801,0.819,11,-5.189,1,0.158,0.292,0.0,0.515,0.811,139.969
26,A$AP Rocky,"east coast hip hop, hip hop, rap",14740526,76,https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02,256026,False,76,0.6,0.537,9,-7.777,0,0.0362,0.0468,0.0038,0.206,0.126,90.061
27,A$AP Rocky,"east coast hip hop, hip hop, rap",14740526,76,https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",LONG.LIVE.A$AP (Deluxe Version),2013,233786,True,76,0.853,0.693,1,-6.87,1,0.275,0.0239,0.0,0.11,0.662,95.967
28,A$AP Rocky,"east coast hip hop, hip hop, rap",14740526,76,https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,LVL,LONG.LIVE.A$AP (Deluxe Version),2013,220133,True,76,0.597,0.427,5,-6.764,0,0.0536,0.18,1.33e-05,0.121,0.0997,120.085
29,A$AP Rocky,"east coast hip hop, hip hop, rap",14740526,72,https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,Jukebox Joints (feat. Joe Fox & Kanye West),AT.LONG.LAST.A$AP,2015-05-26,323960,True,72,0.284,0.803,2,-5.293,0,0.173,0.302,0.0,0.242,0.553,67.536
30,Taylor Swift,pop,119286617,92,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,Cruel Summer,Lover,2019-08-23,178426,False,92,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994
31,Taylor Swift,pop,119286617,89,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,2024-04-18,228965,False,89,0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004
32,Taylor Swift,pop,119286617,87,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,2024-04-18,218004,True,87,0.701,0.751,0,-8.39,1,0.0502,0.123,0.0,0.15,0.22,129.994
33,Taylor Swift,pop,119286617,87,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,august,folklore,2020-07-24,261922,False,87,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937
34,Taylor Swift,pop,119286617,86,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,Lover,Lover,2019-08-23,221306,False,86,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534
35,Taylor Swift,pop,119286617,81,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,Guilty as Sin?,THE TORTURED POETS DEPARTMENT,2024-04-18,254365,False,81,0.626,0.428,2,-8.374,1,0.0261,0.607,0.0,0.0921,0.487,94.95
36,Taylor Swift,pop,119286617,85,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,cardigan,folklore,2020-07-24,239560,False,85,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033
37,Taylor Swift,pop,119286617,81,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,Down Bad,THE TORTURED POETS DEPARTMENT,2024-04-18,261228,True,81,0.541,0.366,11,-10.412,1,0.0748,0.56,1e-06,0.0946,0.168,159.707
38,Taylor Swift,pop,119286617,84,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,Anti-Hero,Midnights,2022-10-21,200690,False,84,0.633,0.648,4,-6.645,1,0.062,0.121,2.62e-06,0.161,0.49,96.888
39,Taylor Swift,pop,119286617,85,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,Don’t Blame Me,reputation,2017-11-10,236413,False,85,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917
40,Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie",26055385,91,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,I Wanna Be Yours,AM,2013-09-09,183956,False,91,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528
41,Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie",26055385,78,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,505,Favourite Worst Nightmare (Standard Version),2007-04-24,253586,False,78,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267
42,Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie",26055385,85,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,Do I Wanna Know?,AM,2013-09-09,272394,False,85,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03
43,Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie",26055385,85,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,Why'd You Only Call Me When You're High?,AM,2013-09-09,161123,False,85,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004
44,Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie",26055385,80,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,R U Mine?,AM,2013-09-09,201726,False,80,0.288,0.758,6,-5.692,0,0.0371,0.00616,0.0,0.303,0.619,97.094
45,Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie",26055385,69,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,Fluorescent Adolescent,Favourite Worst Nightmare (Standard Version),2007-04-24,173493,False,69,0.646,0.813,6,-5.29,0,0.0288,0.00178,2.26e-05,0.144,0.821,112.115
46,Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie",26055385,77,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,Snap Out Of It,AM,2013-09-09,193030,False,77,0.728,0.638,5,-6.455,0,0.0336,0.249,0.0,0.116,0.872,130.014
47,Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie",26055385,75,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,Arabella,AM,2013-09-09,207356,False,75,0.579,0.558,2,-6.986,1,0.0895,0.0202,1.26e-06,0.212,0.506,179.949
48,Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie",26055385,74,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,Knee Socks,AM,2013-09-09,257563,False,74,0.665,0.542,11,-8.323,0,0.033,0.123,0.00291,0.342,0.587,97.975
49,Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie",26055385,73,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,I Bet You Look Good On The Dancefloor,"Whatever People Say I Am, That's What I'm Not",2006-01-29,173680,False,73,0.535,0.948,6,-4.19,0,0.0356,0.00225,0.0,0.376,0.778,103.183
50,Alice In Chains,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",5216015,76,https://open.spotify.com/artist/64tNsm6TnZe2zpcMVMOoHL,Man in the Box,Facelift,1990-08-01,285200,True,76,0.355,0.791,8,-7.565,1,0.0453,0.00045,0.0,0.0969,0.758,106.392
51,Alice In Chains,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",5216015,75,https://open.spotify.com/artist/64tNsm6TnZe2zpcMVMOoHL,Would? (2022 Remaster),Dirt (2022 Remaster),1992-09-29,206773,False,75,0.297,0.842,6,-7.457,1,0.0488,0.000286,9.1e-06,0.0848,0.586,100.127
52,Alice In Chains,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",5216015,72,https://open.spotify.com/artist/64tNsm6TnZe2zpcMVMOoHL,Nutshell,Jar Of Flies,1994,259200,False,72,0.384,0.561,3,-10.059,0,0.0296,0.373,0.253,0.0775,0.159,136.136
53,Alice In Chains,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",5216015,72,https://open.spotify.com/artist/64tNsm6TnZe2zpcMVMOoHL,Rooster (2022 Remaster),Dirt (2022 Remaster),1992-09-29,374333,False,72,0.263,0.562,3,-7.858,1,0.0273,0.0289,0.00118,0.12,0.213,146.08
54,Alice In Chains,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",5216015,70,https://open.spotify.com/artist/64tNsm6TnZe2zpcMVMOoHL,Them Bones (2022 Remaster),Dirt (2022 Remaster),1992-09-29,149466,False,70,0.16,0.954,9,-5.179,1,0.0685,0.023,4.01e-06,0.372,0.336,165.223
55,Alice In Chains,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",5216015,66,https://open.spotify.com/artist/64tNsm6TnZe2zpcMVMOoHL,Down In A Hole (2022 Remaster),Dirt (2022 Remaster),1992-09-29,338226,False,66,0.356,0.818,6,-5.343,1,0.0335,0.0122,0.000118,0.123,0.389,97.528
56,Alice In Chains,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",5216015,65,https://open.spotify.com/artist/64tNsm6TnZe2zpcMVMOoHL,We Die Young,Facelift,1990-08-01,152560,False,65,0.486,0.938,1,-6.652,1,0.0704,1.79e-05,0.000103,0.361,0.525,125.816
57,Alice In Chains,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",5216015,64,https://open.spotify.com/artist/64tNsm6TnZe2zpcMVMOoHL,No Excuses,Jar Of Flies,1994,255573,False,64,0.527,0.838,3,-6.013,1,0.0323,0.0206,0.00062,0.07,0.721,117.454
58,Alice In Chains,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",5216015,63,https://open.spotify.com/artist/64tNsm6TnZe2zpcMVMOoHL,Rotten Apple,Jar Of Flies,1994,418466,False,63,0.31,0.637,3,-8.595,0,0.037,0.215,0.116,0.0619,0.426,147.4
59,Alice In Chains,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",5216015,62,https://open.spotify.com/artist/64tNsm6TnZe2zpcMVMOoHL,I Stay Away,Jar Of Flies,1994,254400,False,62,0.174,0.781,6,-7.066,1,0.0406,0.0452,0.00346,0.0822,0.276,81.37
60,Anuel AA,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",37214358,81,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,Amanece,Amanece,2018-12-14,190004,False,81,0.79,0.631,8,-5.549,0,0.0425,0.437,0.0,0.158,0.889,94.039
61,Anuel AA,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",37214358,80,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,BBY BOO - REMIX,BBY BOO (REMIX),2024-03-27,275862,True,80,0.703,0.617,5,-5.696,1,0.151,0.215,6.11e-06,0.433,0.486,173.97
62,Anuel AA,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",37214358,78,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,OA,OA,2023-10-13,235200,True,78,0.813,0.866,7,-3.239,1,0.0851,0.17,0.0,0.0421,0.647,99.994
63,Anuel AA,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",37214358,70,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,China,Emmanuel,2020-05-29,301714,False,70,0.786,0.808,7,-3.702,1,0.0881,0.0846,0.000289,0.0822,0.608,105.029
64,Anuel AA,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",37214358,76,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,SERIO CON ESE Q,SERIO CON ESE Q,2024-07-25,247468,True,76,0.693,0.775,8,-4.244,1,0.0665,0.296,0.0,0.232,0.501,93.013
65,Anuel AA,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",37214358,76,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,WYA REMIX BLACK AND YELLOW (feat. iZaak & Pirlo),WYA REMIX BLACK AND YELLOW (feat. iZaak & Pirlo),2024-06-21,390545,True,76,0.529,0.528,0,-6.704,0,0.0846,0.306,0.0,0.604,0.364,110.175
66,Anuel AA,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",37214358,72,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,Razones,Razones,2024-06-27,222727,False,72,0.658,0.654,11,-4.344,1,0.0853,0.511,1.66e-06,0.552,0.523,165.018
67,Anuel AA,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",37214358,75,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,Adicto (with Anuel AA & Ozuna),Adicto (with Anuel AA & Ozuna),2019-08-22,270740,False,75,0.734,0.836,10,-4.803,0,0.0735,0.017,1.64e-05,0.179,0.623,80.002
68,Anuel AA,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",37214358,75,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,Hasta Que Dios Diga,Emmanuel,2020-05-29,246000,True,75,0.691,0.765,8,-4.727,1,0.111,0.464,3.29e-06,0.203,0.855,174.021
69,Anuel AA,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",37214358,75,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,Ella Quiere Beber - Remix,Ella Quiere Beber (Remix),2018-11-02,219357,False,75,0.75,0.665,8,-3.083,1,0.124,0.265,0.0,0.0515,0.697,95.239
70,ABBA,"europop, swedish pop",12698682,85,https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV,Dancing Queen,Arrival,1976,230400,False,85,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804
71,ABBA,"europop, swedish pop",12698682,81,https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV,Gimme! Gimme! Gimme! (A Man After Midnight),Voulez-Vous,1979,292613,False,81,0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528
72,ABBA,"europop, swedish pop",12698682,77,https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV,Lay All Your Love On Me,Super Trouper,1980,274466,False,77,0.678,0.727,2,-7.844,0,0.0258,0.117,0.00396,0.354,0.71,133.481
73,ABBA,"europop, swedish pop",12698682,78,https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV,Mamma Mia,Abba,1975,213266,False,78,0.749,0.748,2,-7.011,1,0.0323,0.295,0.000443,0.469,0.827,137.547
74,ABBA,"europop, swedish pop",12698682,76,https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV,Take A Chance On Me,The Album,1977,243933,False,76,0.684,0.675,11,-8.123,1,0.0257,0.163,0.0,0.242,0.924,107.064
75,ABBA,"europop, swedish pop",12698682,74,https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV,Waterloo,Waterloo,1974,168960,False,74,0.445,0.949,2,-4.682,1,0.0471,0.395,8.18e-06,0.0902,0.653,147.604
76,ABBA,"europop, swedish pop",12698682,74,https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV,The Winner Takes It All,Super Trouper,1980,294720,False,74,0.454,0.788,6,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15
77,ABBA,"europop, swedish pop",12698682,73,https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV,Super Trouper,Super Trouper,1980,252853,False,73,0.764,0.626,0,-8.274,1,0.0288,0.457,6.35e-06,0.201,0.961,118.34
78,ABBA,"europop, swedish pop",12698682,71,https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV,"Money, Money, Money",Arrival,1976,186426,False,71,0.787,0.704,9,-6.873,0,0.0385,0.535,0.00305,0.089,0.646,120.701
79,ABBA,"europop, swedish pop",12698682,72,https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV,Chiquitita,Voulez-Vous,1979,326320,False,72,0.5,0.554,9,-8.108,1,0.0354,0.734,3.72e-06,0.312,0.372,84.229
80,AJR,pov: indie,3427137,66,https://open.spotify.com/artist/6s22t5Y3prQHyaHWUN1R1C,World's Smallest Violin,OK ORCHESTRA,2021-03-26,180742,True,66,0.68,0.696,5,-6.977,1,0.051,0.116,0.0,0.607,0.684,115.962
81,AJR,pov: indie,3427137,69,https://open.spotify.com/artist/6s22t5Y3prQHyaHWUN1R1C,Bang!,OK ORCHESTRA,2021-03-26,170858,False,69,0.74,0.517,1,-6.233,0,0.0506,0.0183,0.0,0.0558,0.698,139.917
82,AJR,pov: indie,3427137,69,https://open.spotify.com/artist/6s22t5Y3prQHyaHWUN1R1C,Burn The House Down,The Click - Deluxe Edition,2018-09-21,212373,True,69,0.459,0.659,0,-4.357,1,0.167,0.0369,0.0,0.181,0.576,184.311
83,AJR,pov: indie,3427137,67,https://open.spotify.com/artist/6s22t5Y3prQHyaHWUN1R1C,Yes I'm A Mess,The Maybe Man,2023-11-10,164973,True,67,0.737,0.624,2,-5.667,0,0.0465,0.0242,0.0,0.113,0.398,92.001
84,AJR,pov: indie,3427137,64,https://open.spotify.com/artist/6s22t5Y3prQHyaHWUN1R1C,Weak,The Click,2017-06-09,201159,False,64,0.67,0.643,5,-4.553,1,0.0466,0.118,0.0,0.192,0.703,123.977
85,AJR,pov: indie,3427137,64,https://open.spotify.com/artist/6s22t5Y3prQHyaHWUN1R1C,100 Bad Days,Neotheater,2019-04-26,212783,False,64,0.622,0.639,10,-5.62,1,0.0874,0.0465,0.0,0.161,0.632,144.089
86,AJR,pov: indie,3427137,64,https://open.spotify.com/artist/6s22t5Y3prQHyaHWUN1R1C,Way Less Sad,OK ORCHESTRA,2021-03-26,206108,False,64,0.701,0.547,2,-8.238,1,0.0483,0.00843,0.0,0.0987,0.4,140.015
87,AJR,pov: indie,3427137,61,https://open.spotify.com/artist/6s22t5Y3prQHyaHWUN1R1C,Sober Up (feat. Rivers Cuomo),The Click,2017-06-09,218763,False,61,0.648,0.619,5,-4.94,1,0.0274,0.279,0.0,0.0833,0.772,93.014
88,AJR,pov: indie,3427137,64,https://open.spotify.com/artist/6s22t5Y3prQHyaHWUN1R1C,Inertia,The Maybe Man,2023-11-10,220933,True,64,0.43,0.583,1,-5.794,1,0.0403,0.0323,0.0,0.339,0.653,176.04
89,AJR,pov: indie,3427137,60,https://open.spotify.com/artist/6s22t5Y3prQHyaHWUN1R1C,Record Player,All You Need Is Time (Deluxe Edition),2022-10-27,149538,False,60,0.665,0.686,11,-7.049,0,0.104,0.247,0.0,0.062,0.927,73.987
90,AC/DC,"australian rock, hard rock, rock",29139022,86,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,You Shook Me All Night Long,Back In Black,1980-07-25,210173,False,86,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361
91,AC/DC,"australian rock, hard rock, rock",29139022,85,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Back In Black,Back In Black,1980-07-25,255493,False,85,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386
92,AC/DC,"australian rock, hard rock, rock",29139022,85,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Thunderstruck,The Razors Edge,1990-09-24,292880,False,85,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52
93,AC/DC,"australian rock, hard rock, rock",29139022,85,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Highway to Hell,Highway to Hell,1979-07-27,208400,False,85,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728
94,AC/DC,"australian rock, hard rock, rock",29139022,79,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,T.N.T.,High Voltage,1976-05-14,214666,False,79,0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366
95,AC/DC,"australian rock, hard rock, rock",29139022,76,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Hells Bells,Back In Black,1980-07-25,312293,False,76,0.389,0.873,4,-4.768,0,0.0475,0.00532,0.0055,0.273,0.303,106.767
